Sample,Acetaldehyde,"2,3-Butanedione","2,3-Pentanedione",2-Heptanone,3-Hydroxy-2-butanone,1-Hexanol,Dimethyl trisulfide,2-Nonanone,Acetic acid,Benzaldehyde,2-Undecanone,Butanoic acid,Pentanoic acid,Hexanoic acid,Dimethyl sulfone,Heptanoic acid,Phenol,Octanoic acid,Nonanoic acid,delta-Decalactone,Decanoic acid,Ethyl acetate,Acetoin,Label
S01_1,0,4759.377435,0,0,10314.33868,0,0,43.71310769,20870.83696,72.99310835,5.171590745,1008.335991,0,2176.765625,0,468.2484654,0,579.2644326,657.1485316,52.49329289,769.2892251,0,0,Fermented
S01_2,175.6786618,0,245.1843362,19.79384164,8973.718394,8.747135237,0,40.83021428,12410.1898,70.31791472,0,870.3197739,619.5894633,2395.076184,0,467.590717,4.49917875,720.2191201,0,36.64495114,797.5850663,0,0,Fermented
S01_3,39.77166344,4076.815137,0,0,11026.29971,9.05011242,0,0,16725.86066,71.68311881,0,991.0239147,0,2345.591991,3512.368297,468.1605357,5.642993843,697.4150105,657.435742,82.37758912,834.7198612,0,0,Fermented
S12_1,93.67751062,2054.903717,0,26.78556086,12404.01024,0,0,38.10340334,31289.57444,74.95137109,0,7636.413126,981.2977019,18480.71838,2186.896167,694.3906412,0,4276.357165,748.5140954,85.05601138,4682.549658,0,0,Fermented
S12_2,352.146773,1441.210308,0,0,23850.62221,0,0,42.44418701,89363.27943,81.42902905,4.310376066,11341.60809,1040.495213,20088.39951,0,722.5032,0,4935.870446,735.6197145,103.9206246,5240.778609,0,0,Fermented
S12_3,26.61208233,2331.856055,0,29.31771074,17353.80817,0,0,43.83261045,60843.15004,75.26639436,0,10990.32666,1068.571656,20331.1616,1736.851386,719.0793617,5.538503642,4515.423516,742.2390929,86.04903888,4423.469891,0,0,Fermented
S14_1,185.2020246,1603.468637,0,9.825690689,1758.791596,6.447741612,4.771420763,35.1861919,3125.766581,66.57548694,3.347054406,275.5403183,0,575.4827607,0,0,5.570568955,260.8023781,0,0,0,0,0,Fermented
S14_2,178.0999325,1850.384828,0,10.30908938,2103.466554,0,4.793148627,0,3303.644445,67.76990254,3.589771221,330.2709695,0,779.8184804,0,0,4.616357941,363.6981344,0,0,368.2404518,0,0,Fermented
S14_3,159.5533986,1436.619626,0,0,1508.163315,0,0,36.24555211,3156.019812,66.61235417,2.898683248,264.5438741,0,521.1659606,0,0,4.016242754,284.9481908,0,0,0,0,0,Fermented
S10_1,410.6579005,656.541155,0,16.88047993,1879.698056,0,4.848217532,36.66550263,5497.724748,0,0,274.2343818,0,409.316509,746.9111989,0,4.162864251,129.2797092,0,0,142.3889547,0,0,Fermented
S10_2,422.1372788,690.6265663,0,19.69347247,2102.750501,7.419574954,4.909258649,35.47100246,5669.300387,0,0,265.7230198,0,385.6628108,0,0,7.79890436,128.0384457,0,0,136.7304998,0,0,Fermented
S10_3,13.91946168,647.8118423,0,10.03872436,4000.036097,7.524422201,4.902478809,35.58104567,15448.52304,0,0,338.5526479,0,440.0517693,673.4038009,0,4.327311838,159.3353395,0,0,164.0699754,0,0,Fermented
S05_1,143.9311448,1733.267938,134.146666,17.89943118,3988.027651,7.54462319,4.743845726,0,3614.590607,64.3672458,0,275.3493002,0,312.8042866,0,426.5486654,4.584335988,94.96144809,0,39.45791333,126.0342699,0,0,Fermented
S05_2,158.0144951,0,99.54470271,14.69888299,3430.775502,6.868918581,0,0,2537.035605,0,0,238.606977,562.2116104,305.8909725,0,0,4.159753402,82.16786205,0,0,0,0,0,Fermented
S05_3,163.0900435,1520.64774,107.3085903,17.23344457,5005.00603,6.789131508,0,34.32417447,7713.439395,64.48285404,0,324.3109492,0,328.1471157,0,0,3.616842024,85.6014897,0,0,0,0,0,Fermented
S06_1,15.40414177,1204.039953,177.2660753,32.55460781,4453.700951,0,0,38.3665096,4312.376918,63.48836302,0,420.1525068,568.1196529,609.6318241,780.9580195,0,3.670561049,119.4366187,0,0,0,0,0,Fermented
S06_2,148.9003554,11319.61642,117.7982729,33.64728666,5096.295391,7.051282841,0,37.79346778,4837.064075,63.65066734,0,466.5003041,0,743.6087686,0,0,3.717687303,141.0548949,0,0,0,0,0,Fermented
S06_3,138.3937382,1241.308451,123.6214127,32.34632423,5553.747137,0,0,38.30292266,5025.647555,64.5891122,0,507.0694956,565.3063336,715.2644024,884.8086144,0,3.693437871,122.7209665,0,0,0,0,0,Fermented
S11_1,22.76975555,268.9918778,0,0,1204.959269,0,4.774917617,33.93012579,1700.427862,63.48565795,0,331.8659823,0,883.0976473,554.5951401,430.5551305,3.396162748,441.0318184,638.0776614,0,599.6525952,0,0,Fermented
S11_2,57.99779452,0,0,6.462559958,2768.907052,6.287818629,0,35.71605934,10884.63527,0,4.1915637,516.7689813,0,1051.090148,706.7582455,0,3.809303048,539.7288491,0,0,715.7938612,0,0,Fermented
S11_3,133.7927774,230.4797494,0,8.772231668,1595.597843,0,4.76287679,34.20640564,5730.208752,63.82816726,3.838746986,443.011709,0,1036.891595,607.0384813,0,3.511344461,533.4431562,639.3256669,0,775.8852658,0,0,Fermented
S17_1,30.32354991,4265.776343,295.1983629,44.3862957,5992.232121,7.361467829,4.804088175,0,6676.743306,68.02270473,0,1613.161463,0,4161.275315,0,436.5489676,6.153188827,561.2808929,640.628001,0,0,0,0,Fermented
S17_2,132.8486899,267.7115831,303.7278277,43.49712498,5620.172604,7.471944206,4.816088215,0,6528.697338,0,0,1732.964184,596.5493715,2992.75043,784.6394955,433.6935357,5.229074594,328.8496939,638.0888497,0,382.2696345,0,0,Fermented
S17_3,487.2275517,4315.463219,0,39.33303577,5552.91604,0,4.799574067,0,7361.493271,67.64710111,0,1777.46366,589.0828642,3033.770493,0,432.7284976,5.322491075,437.1678729,0,54.39789327,404.1266783,0,0,Fermented
S02_1,39.06350003,4680.405622,382.9729266,26.45881238,13566.75479,0,0,48.7490523,30219.00346,73.68205748,0,1444.96773,0,2951.202287,1905.172651,478.2493187,5.964979816,787.3603886,0,53.37283569,1071.276115,0,0,Cheesy
S02_2,0,4069.126535,0,21.56551068,16200.26469,0,0,0,42581.27922,71.16075912,0,1391.480172,0,2596.106408,1575.872859,477.6008999,4.813485653,796.6791266,652.7437897,49.67557768,989.8938409,0,0,Cheesy
S02_3,0,0,0,0,22124.73573,0,0,42.14440365,52838.32056,72.50410835,0,1649.43685,617.3377319,2507.618197,865.1013567,471.593022,5.397893747,742.1794412,0,50.46351791,860.980148,0,0,Cheesy
S03_1,0,5707.783561,191.4156934,23.98973341,46574.83324,0,0,0,79815.78116,89.84536311,0,7076.641628,0,9626.594652,3017.092217,0,0,2128.64935,690.3094197,104.2054043,2441.401278,0,0,Cheesy
S03_2,49.01866269,248.7427417,0,0,60981.74329,0,0,0,122406.0327,82.48284299,0,9347.053173,0,8836.127933,2555.22604,0,8.996181696,2083.10997,679.5103767,95.23752706,2308.503105,0,0,Cheesy
S03_3,17.33471245,5963.822281,0,0,59602.25294,0,0,40.8637862,136854.7019,0,0,12870.77752,781.2229758,8896.759316,0,0,9.106351997,1804.413425,0,81.75247986,1812.991172,0,0,Cheesy
S07_1,146.4340341,3443.587333,156.1606203,51.09496261,11685.37302,0,4.918289624,45.31799619,13823.19762,75.70052216,4.778465143,2166.26653,607.057702,3901.361101,1328.09359,426.2281432,5.687214875,650.971902,0,53.1288815,512.5176851,0,0,Cheesy
S07_2,15.51594083,1979.797925,155.5086678,21.19882713,9153.175308,0,0,0,6027.576324,73.36426556,0,1513.92816,0,4115.883638,2053.587678,438.5560756,4.667878752,789.598342,643.2519743,61.87938339,685.4036609,0,0,Cheesy
S07_3,311.7245914,0,222.5736601,38.28654859,10127.75449,0,0,43.12962414,6516.171669,73.91775152,0,1804.915466,609.4745347,4202.649493,2094.521167,439.0808874,4.574741442,739.229107,0,58.81928297,595.9545073,0,0,Cheesy
S08_1,279.0990379,2324.087597,234.7805436,91.25259352,6985.811099,0,0,46.79903171,10593.8548,65.17028062,7.21632391,526.7751585,572.983307,564.6532239,1622.02397,0,8.849356752,118.0331229,0,42.64065762,0,3458.764993,0,Cheesy
S08_2,333.2780952,2298.831855,0,88.69262044,6507.146439,0,0,47.79859421,6789.918435,65.30987343,6.776799966,0,0,607.7940053,2435.083063,0,8.256331177,140.2295814,0,43.06286576,0,0,0,Cheesy
S08_3,249.265407,0,485.6733875,79.95582856,6745.964128,0,0,53.44923065,6186.999475,65.08105874,6.780789071,447.2608606,0,652.7634425,1888.036882,0,8.469434214,148.6240846,0,42.88187764,0,0,0,Cheesy
S16_1,46.11359976,4919.066696,457.9997593,62.03341819,10658.99582,0,4.783370694,41.15929936,12538.13264,65.5221403,0,1265.383928,587.5312436,1923.703794,1091.990481,0,0,264.6611611,0,46.50584793,0,0,0,Cheesy
S16_2,385.4411377,2986.893932,493.8827364,60.55496946,10508.42514,0,4.784717373,44.25325156,10775.96912,65.18447635,0,1409.840428,587.613391,2287.527581,1886.930696,429.3859269,4.476236319,270.2392223,0,48.63010698,231.9627332,0,0,Cheesy
S16_3,428.2066563,4824.875358,400.3047758,24.05625894,14534.55595,0,0,43.10095065,20910.92639,65.15215868,4.048371011,1651.958007,588.5186552,2466.943697,3110.023064,0,11.84280035,258.403113,0,47.57309495,272.1260696,0,0,Cheesy
S09_1,270.5893398,1795.570971,0,44.5251624,7488.152833,9.863483556,4.816826331,40.05912952,13855.36976,68.79726188,0,795.6906593,0,475.7086345,847.9097997,0,4.164624802,162.9423984,0,0,0,0,0,Milky
S09_2,0,1817.547948,0,35.60452513,7615.577633,8.117219833,4.815069231,37.75110329,17697.75759,67.6690936,0,924.8696556,0,413.9052032,875.4765299,0,4.109726759,0,0,0,0,0,0,Milky
S09_3,220.7996275,1987.756848,0,13.53214517,10471.44628,7.977869906,0,38.41220711,22403.93848,0,0,1236.384332,0,743.6170837,1368.627821,0,4.825735418,0,0,48.63388013,0,0,0,Milky
S13_1,142.4289072,2352.338298,0,116.3063245,4883.525829,8.046409522,0,66.99706773,8607.570305,67.1363611,10.48947721,395.1035732,0,253.0229266,1070.737987,0,2.92605773,139.9101327,0,52.43737422,0,0,0,Milky
S13_2,37.10121736,3240.093017,0,113.8368985,4858.106202,8.656058003,0,53.41883896,7538.2215,0,8.067868064,406.1457905,0,229.9770532,951.4118238,0,3.807646358,0,0,44.29587389,0,0,0,Milky
S13_3,165.7321187,2634.663487,0,123.4148506,4768.366417,8.248881248,4.757795455,51.57872646,7775.026359,66.96847157,7.40063126,395.1028408,0,229.2925736,851.0374632,0,2.92605773,0,0,45.91746392,0,0,0,Milky
S20_1,0,2072.809704,0,23.90012459,8880.485589,0,0,38.06952642,9948.940913,67.17674674,0,307.8676219,0,262.367672,1493.216183,0,0,0,0,0,0,0,0,Milky
S20_2,348.4852291,1960.396684,0,21.91650088,7740.482412,0,4.950004436,0,9350.313833,66.708858,0,300.4753782,0,208.4951835,1147.57264,0,4.665313651,60.82004657,0,42.79498041,0,0,0,Milky
S20_3,228.1018854,1904.003395,0,20.13682588,7513.139187,0,0,0,10606.29316,69.41394134,0,309.7778685,0,224.0070066,0,0,0,87.35661337,0,0,0,0,0,Milky
S15_1,24.90278489,2369.643078,0,65.07489628,9775.863069,0,0,46.61292072,10841.03756,71.28616783,5.38280636,737.049137,0,1189.04076,2133.230651,451.1863408,6.222203907,230.7920645,0,59.3334413,150.130818,0,0,Milky
S15_2,0,2583.084899,0,36.60450969,9991.255277,0,0,49.11852765,12841.80983,71.67095325,5.169165837,732.9902151,0,1027.690881,1223.81179,0,4.862636013,191.1380719,0,59.80750139,0,0,0,Milky
S15_3,32.94689636,3062.045158,0,0,8376.341682,0,0,41.06363068,12569.15975,69.05998124,0,778.117159,0,1795.920581,2768.519089,457.7773753,4.970235103,539.548025,0,71.05342446,657.0306607,0,0,Milky
S04_1,20.38920698,1779.680165,140.2969088,0,3724.850153,0,4.819310101,0,5041.293831,68.88193028,0,275.4945129,0,711.4059801,1518.23184,428.4934307,4.150702762,352.0077889,0,0,225.0028402,0,0,Milky
S04_2,530.2337082,1881.96977,0,0,4442.600606,0,4.810312363,37.44970704,3715.455736,69.52887887,0,300.8862887,0,875.672123,1342.377131,429.3065216,4.137294875,448.4222719,0,0,302.9035386,0,0,Milky
S04_3,537.7526232,2293.369676,167.750782,0,4487.606494,0,4.833595351,41.38010678,5878.932647,0,0,311.7070781,0,821.3603893,1139.090997,428.3878298,5.196517928,389.7680074,0,0,319.8726508,0,0,Milky
S18_1,27.52666754,3170.490353,0,25.32642489,0,13.3977151,0,55.73913981,74442.12399,80.25232068,0,1389.741215,0,2283.258601,0,0,5.78483589,643.8721677,0,51.280441,595.3994828,0,99588.87642,Fruity
S18_2,127.1997513,0,0,29.48696731,0,9.372883841,0,52.54675173,78073.83918,80.85897558,5.292922802,1060.623153,0,1961.528616,0,0,5.939591401,488.1595206,0,48.29345507,468.3845649,0,101051.3399,Fruity
S18_3,83.26600894,1963.288779,0,68.03091908,0,9.226737976,0,47.28156148,59687.12669,77.53432903,5.243485537,811.0716689,0,1537.806286,1069.154889,0,5.290098117,404.1428085,0,48.16399431,384.5917893,0,72733.59555,Fruity
S19_1,1015.151903,1668.167056,360.0570829,63.48563225,0,0,0,38.0705058,48217.58446,81.8687575,0,1760.768139,0,2405.209527,1346.775031,0,6.031368499,527.0386574,0,53.00094985,0,0,94496.46263,Fruity
S19_2,779.7959267,4002.661423,251.5544973,76.46653104,0,0,0,54.6967739,33689.776,77.84316711,5.341230954,1628.237433,0,2690.304332,1221.720248,0,4.759951747,616.2080928,0,50.80931127,502.0427296,0,78978.04714,Fruity
S19_3,2028.901383,2835.41424,459.551957,0,0,0,0,52.85642978,39247.91884,80.38203538,0,1749.033458,0,2504.727568,1227.083648,0,4.741773811,598.3229783,0,53.24214775,505.516648,0,74813.34224,Fruity
